numero_processo,numero_formatado,classe,data_ajuizamento,data_ultima_atualizacao,tem_transito_julgado,data_transito_julgado,tem_baixa_definitiva,data_baixa_definitiva
00403766720208160014,0040376-67.2020.8.16.0014,Agravo em Recurso Especial,05/06/2025,09/06/2026 13:43,sim,24/04/2026 14:43,sim,24/04/2026 14:43
00004322620228160196,0000432-26.2022.8.16.0196,Recurso Especial,07/02/2025,09/06/2026 13:43,sim,07/04/2026 16:33,sim,07/04/2026 16:33
00216490320108160017,0021649-03.2010.8.16.0017,Agravo em Recurso Especial,30/01/2025,09/06/2026 13:43,sim,20/05/2026 15:03,sim,20/05/2026 15:03
00392377020178160019,0039237-70.2017.8.16.0019,Agravo em Recurso Especial,29/10/2025,09/06/2026 13:22,sim,21/05/2026 19:33,sim,21/05/2026 19:33
00118491620228160021,0011849-16.2022.8.16.0021,Agravo em Recurso Especial,29/08/2025,09/06/2026 13:26,sim,10/04/2026 15:43,sim,10/04/2026 15:43
